作者
云
借
說
石頭記
書
甄士隱
記
女子
去
覺
行止
見識
出
鬚眉
悔
大
德
錦衣
背
恩
負
罪
告
知
閨閣
不可
不肖
使
不足
況
覺得
筆墨
不學
出來
亦可
破
悶
醒
目
賈雨村
於
夢
字
兼
提醒
意
看官
起
說來
荒唐
趣味
卻說
氏
高
頑石
只用
剩下
棄
青埂峰
誰知
石
通
自去
獨
不得
悲哀
正當
見
僧
來
來到
石頭
一般
屬
可愛
掌上
笑
實在
鐫
人人
攜
花柳
繁華
溫柔
富貴
鄉
聽
大喜
問
不知
望
乞
那僧笑
明白
畢
袖
那道人
劫
空空道人
字跡
分明
乃
從頭
看
無
補
紅塵
處
家庭
詩詞
失落
無考
可去
身
請
傳
曉得
來歷
說道
故事
意欲
傳奇
看來
考
朝廷
治
風俗
情
小
算不得
頭
答道
師
想
歷來
名色
事體
反倒
新鮮
人
妻女
風月
子弟
開口
寫出
男女
二人
名姓
如
戲
可厭
即
文
觀
原委
穿鑿
失
願
世人
醉
玩
洗
舊
省
思忖
事
傷
時
方
回來
色
改
曰
後
分出
金陵
便是
解
味
記著
上書
東南
姑蘇
城
門
風流
街
地方
葫蘆
廟
住著
姓
甄
隱
性情
深
推
功
名為
念
竹
吟詩
樂
神仙
一流
人物
膝下
女
乳名
英蓮
士隱
書房
手
倦
拋
伏
睡
朦朧
走
行
談
道人
問道
放心
公案
了結
冤家
經歷
那僧道
好笑
落得
遊玩
警幻仙子
仙子
留
神瑛侍者
靈
行走
看見
畔
甘露
灌溉
久
受
天地
精華
復
脫
草木
渴
飲
水
故
內
纏綿
下世
眼淚
一事
下凡
案
掛
功德
蠢物
清楚
待
孽
鬼
隨
施禮
忙
相問
實
人世
弟子
不能
開
頑
備
忘
那僧
倒有
說著
取出
遞
接
美玉
還有
小字
細看
強
奪
牌坊
大書
對聯
假作
假
跟著
大叫
只見
芭蕉
抱
走來
女兒
粉
玉
乖覺
可喜
伸手
鬥
玩耍
帶
熱鬧
方欲
進
抱著
大哭
起來
施主
命
爹娘
物
作
知是
瘋話
不睬
罷
不耐煩
轉身
進去
指著
大笑
言詞
嬌
菱花
空
雪
防
佳節
幹
營生
最妙
不見
自忖
後悔
寄居
窮
儒
表字
飛
雨村
人氏
詩書
生於
父母
祖宗
根基
人口
家鄉
進京
功名
住
寄
安身
下雨
村
陪笑
老先生
新聞
小女
啼哭
引
無聊
來得
正好
令人
送
雨
小童
獻
茶
話
家人
拜
慌忙
起身
恕
誆
駕
坐
弟
讓
晚生
客
前廳
解悶
嗽
丫鬟
掐
花兒
生
不俗
姿色
動人
呆
甄家
走時
抬頭
腰
圓
厚
迴避
親友
定
主人
有意
幫助
機會
回頭
自謂
知己
進來
打聽
夾道
出去
散
邀
家宴
時刻
正值
懷
占
五言
添
愁
額
影
堪
樓
平生
吟
釵
聽見
前人
團圓
節
兄
感
齋
推辭
蒙
愛
設
杯盤
歸
濃
街坊
酒
已有
滿
欄
捧
人間
妙極
謂
親
斟
賀
學
行李
賴
說完
便道
早
言
遇
唐突
不負
盤費
不枉
速
買
舟
收
吃酒
交
鼓
方散
回房
直至
方醒
思
投
和尚
留下
老爺
讀書人
不在
只得
易
令
花燈
放在
門檻
坐著
完
急
尋
天明
夫婦
找尋
夫妻
煩惱
不顧
性命
看看
得病
夫人
疾
卦
不想
小心
窗紙
接二連三
燒
火
已成
可憐
成
跌足
長
妻子
商議
田地
折變
名喚
封肅
女婿
銀子
拿
置買
計
賺
讀書
不慣
勉強
支持
見面
現成
話兒
怨
不會
知道
禁得
露出
光景
可巧
拄
拐
念著
忘不了
草
金銀
恨
君
死
兒孫
癡心
孝順
子孫
迎上來
滿口
算
可知
叫
歌
聞
床
衰草
枯
楊
綠
紗
糊
香
霜
埋
紅
帳
臥
鴛鴦
轉眼
人命
喪
擇
膏粱
承望
嫌
致使
扛
憐
寒
紫
唱
瘋
切
搶
回家
同著
眾人
當作
傳說
哭
父親
遣
討
音信
度日
伏侍
主僕
做
針線
幫著
用度
抱怨
喝道
新
太爺
到任
轎
官府
怔
官兒
倒像
進入
丟
歇息
打
嚷
傳人
問話
唬得
傳喚
快
小人
出家
驚慌
時分
賈
門首
丫頭
緣故
回明
息
外孫女兒
燈
不妨
差
二房
喜
奉承
攛掇
乘
歡喜
禮物
過活
下落
那丫頭
弄
奇緣
正室
贈
銀
得意
進士
恃
上司
參了
鄉紳
龍
革職
官
喜悅
交代
公事
原籍
安頓
妥當
擔
偶
林如海
姓林
寺
大夫
御史
祖
襲
海
隆恩
出身
世
祿
可惜
林家
人丁
有限
支
子
亡
姬
妾
奈
賈氏
黛玉
聰明
識
風寒
認得
正要
教訓
薦
衙門
學生
身體
弱
功課
限
養病
不料
母
湯藥
